id,title,overview,genres,keywords,adult
98,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.","['Action', 'Drama', 'Adventure']","['gladiator', 'rome, italy', 'arena', 'senate', 'roman empire']",False
8290,Don't Look Now... We're Being Shot At!,"During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops – and the consequences of their own blunders.","['Comedy', 'War']","['opera', 'paris, france', 'general', 'world war ii', 'conductor']",False
100,"Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,"['Comedy', 'Crime']","['ambush', 'joint', 'alcohol', 'shotgun', 'tea']",False
101,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","['Crime', 'Drama', 'Action']","['hotel room', 'new york city', 'immigrant', 'assassin', 'police brutality']",False
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.","['Mystery', 'Thriller']","['based on novel or book', 'domestic abuse', 'psychological thriller', 'attempted rape', 'attic']",False
103,Taxi Driver,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.","['Crime', 'Drama']","['drug dealer', 'vietnam veteran', 'new york city', 'taxi', 'pornography']",False
99,All About My Mother,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.","['Comedy', 'Drama']","['drug abuse', 'barcelona, spain', 'transvestism', 'transplantation', 'madrid, spain']",False
335977,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.","['Adventure', 'Action']","['melancholy', 'treasure hunt', 'ancient rome', 'sequel', 'flashback']",False
106,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['guerrilla warfare', 'central and south america', 'predator', 'trap', 'alien']",False
107,Snatch,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.","['Crime', 'Comedy']","['robbery', 'trailer park', 'england', 'gypsy', 'gambling']",False
770156,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,"['Drama', 'Family']","['faith', 'peace', 'prince', 'christmas', 'jesus christ']",False
105,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","['Adventure', 'Comedy', 'Science Fiction']","['flying car', 'race against time', 'clock tower', 'car race', 'lightning']",False
110,Three Colors: Red,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.","['Drama', 'Mystery', 'Romance']","['infidelity', 'judge', 'isolation', 'shadowing', 'english channel']",False
111,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","['Action', 'Crime', 'Drama']","['corruption', 'sibling relationship', 'miami, florida', 'cuba', 'loss of loved one']",False
335984,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.","['Science Fiction', 'Drama']","['future', 'android', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics']",False
113,"Spring, Summer, Fall, Winter... and Spring","An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",['Drama'],"['dying and death', 'life and death', 'countryside', 'temple', 'isolation']",False
114,Pretty Woman,"While on a business trip in Los Angeles, Edward Lewis, a millionaire entrepreneur who makes a living buying and breaking up companies, picks up a prostitute, Vivian, while asking for directions; after, Edward hires Vivian to stay with him for the weekend to accompany him to a few social events, and the two get closer only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.","['Romance', 'Comedy']","['prostitute', 'sports car', 'capitalism', 'expensive restaurant', 'workaholic']",False
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","['Family', 'Fantasy', 'Comedy', 'Adventure', 'Action']","['friendship', 'surrealism', 'exploration', 'portal', 'miner']",False
115,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.","['Comedy', 'Crime']","['vietnam veteran', 'white russian', 'bowling', 'carpet', 'nihilism']",False
117,The Untouchables,"Elliot Ness, an ambitious prohibition agent, is determined to take down Al Capone. In order to achieve this goal, he forms a group given the nickname “The Untouchables”.","['Crime', 'History', 'Thriller']","['chicago, illinois', 'prohibition era', 'gangster', 'baseball bat', 'white suit']",False
